"[10.59804693  4.42874746  0.98003244 15.28664436  0.60486562  1.11580284
  1.21370784]","[11.068101011101891, 3.3790003758445297, -0.1479658962719516, 14.58605682063017, -0.26316181285214507, -0.6126074020155412, -0.026477365472699677]"
"[73.76604799  1.77387555  1.1441381  19.67938935  0.94948697  0.31051364
  1.13979277]","[74.22574415486066, 0.5787369980779121, 0.17163689802824558, 18.660786958143856, -0.04701231198958107, 0.6362532097086756, 0.0766103774638274]"
"[54.47696055  1.49014422  1.09147064 17.25322613  1.18523513  0.900355
  1.53307382]","[55.10211732919979, 0.47404313018588484, 0.027705966578930832, 16.595614257094788, 0.11375109365017232, 0.12379489315810356, 0.025734665224328636]"
"[33.08458441  2.90454506  0.78714913 17.85200243  1.38542657  0.69738973
  1.11010144]","[33.32874691688879, 2.49550687192547, -0.11771743150558085, 17.02735634986058, 0.4045956472942875, -0.6026583848511857, -0.04901685387458514]"
"[62.82215229  6.2043514   0.58862564 13.38453765  1.02913669  0.60173615
  0.90285378]","[63.35777738842027, 5.040201061050483, -0.03040184328954075, 12.693435478248997, 0.05427334012731142, -0.24375307085505757, -0.012623009710190756]"
"[33.01367981  3.06158203  0.52712181 17.26060345  0.85874065  0.35851317
  1.1718917 ]","[33.741218319408105, 1.9390582357473205, -0.04705329123444228, 16.779320240204747, -0.1530488608817619, -0.37654903125096556, -0.01171315978077727]"
"[83.31940083  4.104635    1.00842984 21.64006776  1.22343786  0.99800968
  0.94979552]","[83.67223458615986, 3.802951606981837, 0.026185421284839458, 20.682381552692167, 0.32266963419779177, 0.07947835941919654, 0.0025760548246759243]"
"[78.05634013  4.3387955   1.4136235  16.77983655  0.73771461  0.67080261
  1.00309913]","[78.63906013815428, 2.3237658487340522, 0.16509706096579824, 15.777553430256294, -0.39733361575562387, 0.5980184465816879, 0.033054030504665016]"
"[55.25006031  4.66781366  0.75363772 21.88150355  1.05527529  1.57515258
  1.13215713]","[55.869733609854194, 4.416898671420502, 0.023658400437515673, 20.77728981207304, 0.2692000087772419, 0.30193850457307003, -0.01609984402141542]"
"[28.72095091  5.46410694  1.06367574 17.7563406   0.5784822   1.205934
  1.26058389]","[28.874327710087577, 3.595446737336603, 0.1695540450409287, 16.82833690851795, -0.42990295260462624, 0.7404509149978186, 0.06013367870187816]"
"[ 9.15345105  6.17982203  1.09924552 17.16889627  1.15873352  0.09142097
  1.23108537]","[9.559546557061013, 5.7479117798954436, 0.12182931673148316, 16.121657057407422, 0.22110907906152438, 0.3106627796064023, 0.030951824464568272]"
"[ 8.80336929  4.54359954  0.5639829  15.25198906  0.83426867  1.80205693
  1.00972471]","[9.149165947837275, 3.4356540733184446, -0.12674067918608697, 14.368103767419205, -0.2326158346573104, -0.438779586781653, -0.04222066242695938]"
