init,next
"[30.48916045  1.37105329  1.04596674 20.42253377  0.22241903  1.64431237
  1.20899226]","[31.16289162  3.29171472  1.04596674 20.42253377  0.64091245  5.97574639
  0.51644291]"
"[ 9.02695345  3.37692891  0.95268614 13.71633608  0.02759493  1.03118646
  1.33568957]","[ 9.75574     4.52168326  0.95268614 13.71633608  0.33101618  4.23016139
  0.52256446]"
"[22.12411696  1.60838601  0.85184832 14.6542571   0.1405274   1.81220171
  1.2673371 ]","[22.81422207  2.88666333  0.85184832 14.6542571   0.46615813  4.14564751
  0.46953459]"
"[50.00772552  6.39185593  1.08635913 20.17204331  0.86390258  0.6490507
  1.31196186]","[49.29224151  8.26621435  1.08635913 20.17204331  1.23185065  5.80450144
  0.59148529]"
"[31.38546108  5.92694519  1.04154817 14.28361111  0.12180104  1.82794926
  1.16283081]","[32.08828918  7.16463082  1.04154817 14.28361111  0.49550274  4.89825598
  0.49404875]"
"[66.26001185  4.32893355  0.8873453  13.37316882  0.76854153  0.52047496
  1.33954435]","[66.07131027  5.6353956   0.8873453  13.37316882  1.02621672  3.78839912
  0.51237987]"
"[25.83261838  5.51606894  0.91755178 17.5377289   0.30837579  0.59393338
  1.28167967]","[26.31003702  7.18876173  0.91755178 17.5377289   0.60767379  4.59001477
  0.5392343 ]"
"[81.69997517  1.4464209   0.88109591 16.86593233  0.15291995  1.6926354
  1.2728107 ]","[82.41803143  2.95820272  0.88109591 16.86593233  0.4996207   4.6301918
  0.49364722]"
"[45.79609566  2.26666615  1.10640809 19.2090959   0.16525295  1.38314099
  1.24953596]","[46.48308231  4.05277527  1.10640809 19.2090959   0.57748997  6.01135262
  0.54647293]"
"[76.04908898  6.44963221  0.97325789 18.99198121  0.52257512  1.35111016
  1.22750614]","[76.15882482  8.33614412  0.97325789 18.99198121  0.89182285  5.30050594
  0.51748394]"
"[72.22680015  2.35450939  0.90848385 17.596948    0.51399284  0.49599168
  1.33196384]","[72.30738554  4.09523316  0.90848385 17.596948    0.80537397  4.52568407
  0.55561112]"
"[25.55794054  5.31345956  0.89353511 16.8536281   1.01527873  1.77777641
  1.29600336]","[24.85158798  6.82876082  0.89353511 16.8536281   1.37022115  4.71065329
  0.5003143 ]"
"[4.14246155e+01 3.93110844e+00 1.17627248e+00 1.35699074e+01
 3.04742258e-02 1.15761316e+00 1.20521882e+00]","[42.14461847  5.07556744  1.17627248 13.56990742  0.39756743  5.16364666
  0.55526338]"
"[62.47079767  4.62381905  0.82656951 17.42339658  0.89662802  1.51818219
  1.18637194]","[62.05766563  6.3048157   0.82656951 17.42339658  1.22195767  4.40608374
  0.46584686]"
"[48.14997506  1.49406954  1.16509879 13.81325185  0.05004527  0.55837604
  1.19198065]","[48.8774834   2.66197492  1.16509879 13.81325185  0.38670001  5.04939991
  0.56157482]"
"[80.45507592  6.60694627  1.03093719 13.25865145  0.11199882  1.2279379
  1.27140917]","[81.08042908  7.76544117  1.03093719 13.25865145  0.44103253  4.5000638
  0.52541991]"
"[18.8323366   6.60958554  0.82250551 18.26292647  0.80314104  1.46905754
  1.22026028]","[18.51746279  8.3953966   0.82250551 18.26292647  1.13012771  4.48863248
  0.48143246]"
"[42.40632802  4.27902833  0.86352941 20.01965703  0.29616983  1.1157007
  1.28528603]","[42.93450449  6.19428305  0.86352941 20.01965703  0.6245979   4.80222811
  0.53222923]"
"[23.42069839  1.35826261  1.04427799 15.58971514  0.98404149  0.77636033
  1.32452857]","[22.76956423  2.76152982  1.04427799 15.58971514  1.31566693  4.92522678
  0.56085854]"
"[56.81826986  2.58284101  0.92829599 16.01628691  0.39990463  1.03175143
  1.28688823]","[57.12471404  4.14147795  0.92829599 16.01628691  0.71652319  4.53440178
  0.52035026]"
"[12.00861578  5.09122487  0.90431133 15.43837879  0.08254039  1.3603764
  1.27400332]","[12.78119997  6.41324262  0.90431133 15.43837879  0.4056698   4.41151597
  0.49956887]"
"[46.59494774  5.12992999  1.15160518 18.56837712  0.35495744  0.59549591
  1.3568663 ]","[46.80958679  6.96310724  1.15160518 18.56837712  0.72917122  5.88416932
  0.61178002]"
